airport_code_std,airport_name_std,year,enplanements,covid_period,is_missing_imputed,data_flag
ROW,Roswell International Air Center,2023,44943.0,0,0,ok
RST,Rochester International,2023,93490.0,0,0,ok
RSW,Southwest Florida International,2023,4963269.0,0,0,ok
RUT,Rutland - Southern Vermont Regional,2023,5228.0,0,0,ok
RVR,Jose Aponte De La Torre,2023,19786.0,0,0,ok
SAF,Santa Fe Municipal,2023,140257.0,0,0,ok
SAN,San Diego International,2023,12190183.0,0,0,ok
SAT,San Antonio International,2023,5336684.0,0,0,ok
SAV,Savannah/Hilton Head International,2023,1909590.0,0,0,ok
SAW,Sawyer International,2023,42660.0,0,0,ok
SBA,Santa Barbara Municipal,2023,638802.0,0,0,ok
SBD,San Bernardino International,2023,27349.0,0,0,ok
SBN,South Bend International,2023,411377.0,0,0,ok
SBP,San Luis County Regional,2023,324925.0,0,0,ok
SBY,Salisbury-Ocean City Wicomico Regional,2023,52236.0,0,0,ok
SCC,Deadhorse,2023,82296.0,0,0,ok
SCK,Stockton Metropolitan,2023,67688.0,0,0,ok
SCM,Scammon Bay,2023,3583.0,0,0,ok
SDF,Louisville International-Standiford Field,2023,2268034.0,0,0,ok
SDP,Sand Point,2023,2818.0,0,0,ok
SDY,Sidney-Richland Municipal,2023,8020.0,0,0,ok
SEA,Seattle-Tacoma International,2023,24594210.0,0,0,ok
SFB,Orlando Sanford International,2023,1446884.0,0,0,ok
SFO,San Francisco International,2023,24191159.0,0,0,ok
SGF,Springfield-Branson National,2023,632705.0,0,0,ok
SGU,St George Municipal,2023,136411.0,0,0,ok
SGY,Skagway,2023,4953.0,0,0,ok
SHD,Shenandoah Valley Regional,2023,7990.0,0,0,ok
SHH,Shishmaref,2023,3477.0,0,0,ok
SHR,Sheridan County,2023,26641.0,0,0,ok
SHV,Shreveport Regional,2023,308925.0,0,0,ok
SIG,Fernando Luis Ribas Dominicci,2023,13447.0,0,0,ok
SIT,Sitka Rocky Gutierrez,2023,96214.0,0,0,ok
SJC,Norman Y Mineta San Jose International,2023,5958855.0,0,0,ok
SJT,San Angelo Regional/Mathis Field,2023,51865.0,0,0,ok
SJU,Luis Munoz Marin International,2023,5985001.0,0,0,ok
SLC,Salt Lake City International,2023,12905368.0,0,0,ok
SLE,McNary Field,2023,6993.0,0,0,ok
SLK,Adirondack Regional,2023,4944.0,0,0,ok
SLN,Salina Regional,2023,15080.0,0,0,ok
SMF,Sacramento International,2023,6371910.0,0,0,ok
SMX,Santa Maria Public/Capt G Allan Hancock Field,2023,14409.0,0,0,ok
SNA,John Wayne Airport-Orange County,2023,5706332.0,0,0,ok
SOV,Seldovia,2023,3381.0,0,0,ok
SOW,Show Low Regional,2023,3729.0,0,0,ok
SPI,Abraham Lincoln Capital,2023,50513.0,0,0,ok
SPS,Sheppard AFB/Wichita Falls Municipal,2023,25075.0,0,0,ok
SRQ,Sarasota/Bradenton International,2023,2144736.0,0,0,ok
STC,St. Cloud Regional,2023,19556.0,0,0,ok
STL,Lambert-St Louis International,2023,7307561.0,0,0,ok
STS,Charles M Schulz - Sonoma County,2023,318197.0,0,0,ok
STT,Cyril E King,2023,705196.0,0,0,ok
STX,Henry E Rohlsen,2023,235392.0,0,0,ok
SUN,Friedman Memorial,2023,109368.0,0,0,ok
SUX,Sioux Gateway/Col. Bud Day Field,2023,27111.0,0,0,ok
SVA,Savoonga,2023,3310.0,0,0,ok
SVC,Grant County,2023,6973.0,0,0,ok
SWF,Stewart International,2023,129610.0,0,0,ok
SWO,Stillwater Regional,2023,35358.0,0,0,ok
SYR,Syracuse Hancock International,2023,1412853.0,0,0,ok
TBN,Waynesville-St Robert Regional Forney Field,2023,11853.0,0,0,ok
TEX,Telluride Regional,2023,10826.0,0,0,ok
TLH,Tallahassee Regional,2023,416501.0,0,0,ok
TNI,Tinian International,2023,26143.0,0,0,ok
TOG,Togiak,2023,2997.0,0,0,ok
TOL,Toledo Express,2023,70346.0,0,0,ok
TPA,Tampa International,2023,11677632.0,0,0,ok
